condition,seed,step,grad_norm,loss,raw_reward,run
B,20260820,34,0.5607690811157227,-0.038364309817552567,0.3828125,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,35,0.4963069558143616,0.04164749011397362,0.453125,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,36,0.8837763071060181,0.005864850711077452,0.5,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,37,0.48665565252304077,0.03710398077964783,0.4609375,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,38,0.5944504141807556,0.02036047913134098,0.4375,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,39,0.7144293785095215,0.03758814185857773,0.421875,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,40,0.48410308361053467,0.008800321258604527,0.31640625,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,41,0.4365988075733185,0.026883190497756004,0.43359375,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,42,0.9087061882019043,0.010043489746749401,0.48828125,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,43,1.0206964015960693,0.037789445370435715,0.4765625,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,44,0.5507121086120605,0.01326662302017212,0.57421875,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,45,1.3638311624526978,0.05881502851843834,0.5078125,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,46,4.891648769378662,0.004135551862418652,0.51171875,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,47,0.7021967172622681,0.037607576698064804,0.42578125,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,48,0.4625808894634247,0.016438394784927368,0.45703125,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,49,1.0349822044372559,0.01627519354224205,0.57421875,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,50,0.4390319883823395,-0.003267075400799513,0.453125,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,51,1.5656843185424805,0.037525732070207596,0.421875,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,52,0.9316155314445496,0.0334041528403759,0.52734375,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,53,1.1392645835876465,0.049789927899837494,0.4140625,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,54,0.6797915101051331,0.07747383415699005,0.5390625,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
