phase,algorithm,ray_job_id,status,started,ended,elapsed,steps_used,steps_run,responses,accuracy,primary_artifact,artifact_bytes,artifact_sha256,rollout_artifact,rollout_bytes,rollout_rollup_sha256
train,grpo,raysubmit_Btf7mej2LGAEZnkE,succeeded,2026-08-09 14:03:46,2026-08-09 17:03:13,02:59:27,200,300,3200,0.91875,training log,14791546,f3f24c056a0ae6caa8b853c223e8fcd476842df36619659c53f75626dd6accd2,rollout_result/train/0..199.jsonl,16708313,56839720f8c283ee947309c6f160290a93d4169e75ac2a23bc0b1f43fbcf35e1
train,dr_grpo,raysubmit_8RKWV3sEUNmH8ePp,succeeded,2026-08-09 17:04:15,2026-08-09 20:09:30,03:05:15,200,300,3200,0.91500,training log,16295323,d71710371d63786bba4f4e2f4e7697236b79a686382c9b4f4f0d85da7598b28c,rollout_result/train/0..199.jsonl,12063682,3fe26ac4e8e1b62eec693406cb03926d4f3e77d504336c9ab30dd5710d341d32
