run,algorithm,step,rollout/raw_reward,train/loss,train/pg_loss,train/entropy_loss,train/pg_clipfrac,train/ppo_kl,train/kl_loss,train/train_rollout_logprob_abs_diff,train/train_rollout_prob_abs_diff,train/grad_norm,train/lr-pg_0,rollout/response_lengths/correct,rollout/response_lengths/incorrect,rollout/response_counts/correct,rollout/response_counts/incorrect,rollout/truncated_counts/correct,rollout/truncated_counts/incorrect,train/loss_mask_tokens,train/fully_masked_responses,train/reference_kl
grpo,GRPO,0,0.5,0.0,0.0,0.24571090493859565,0.0,0.0,0.0,0.007309428438919279,0.0035055000985075692,0.0,1e-06,1253.9166666666667,4096.0,12,4,0,4,31431,0,0.0
grpo,GRPO,1,0.625,0.2287490534776447,0.2287490534776447,0.24058432776071914,0.0,0.0,0.0,0.007549786112541508,0.003659413105801444,1.7757067680358887,1e-06,1823.0,4096.0,13,3,0,3,35987,0,0.0
grpo,GRPO,2,0.5,0.0,0.0,0.14362295610234316,0.0,0.0,0.00018501315315998186,0.004586654887653708,0.002338545615048016,0.0,1e-06,1161.0833333333333,3617.25,12,4,0,1,28402,0,0.00018501315315998186
grpo,GRPO,3,0.875,0.1396934088978703,0.1396934088978703,0.17361499851787668,0.0,0.0,0.00030059205576782896,0.005559066889365195,0.002727097709959156,1.209371566772461,1e-06,1554.2666666666667,4096.0,15,1,0,1,27410,0,0.00030059205576782896
grpo,GRPO,4,0.5,0.0,0.0,0.2773248830704996,0.0,0.0,0.0007971082367331389,0.008034163335213965,0.0036931075501502307,0.0,1e-06,1498.75,4096.0,12,4,0,4,34369,0,0.0007971082367331389
grpo,GRPO,5,1.0,0.0,0.0,0.21627986665871535,0.0,0.0,0.0011959214551066737,0.006690354811694611,0.003238055490054439,0.0,1e-06,1539.3125,nan,16,0,0,0,24629,0,0.0011959214551066737
grpo,GRPO,6,0.875,0.16144152238220102,0.16144152238220102,0.16897419144701545,0.0,0.0,0.0012600552331436124,0.005119911570116398,0.0025410494044300204,1.255738615989685,1e-06,1311.2,4096.0,15,1,0,1,23764,0,0.0012600552331436124
grpo,GRPO,7,0.375,0.15198971319070081,0.15198971319070081,0.28325784470627874,0.0,0.0,0.0032548913189059526,0.007964528538788746,0.003689384309240353,1.067503571510315,1e-06,1005.0,4096.0,11,5,0,5,31535,0,0.0032548913189059526
grpo,GRPO,8,0.875,0.04240986152500549,0.04240986152500549,0.23678541580244503,0.0,0.0,0.008461150262945786,0.006871852491713004,0.0032315904290536315,0.6827965378761292,1e-06,2459.0,4096.0,15,1,0,1,40981,0,0.008461150262945786
grpo,GRPO,9,1.0,0.0,0.0,0.20957957452295672,0.0,0.0,0.012840661878315346,0.006516488604888974,0.003044066733366323,0.0,1e-06,1491.9375,nan,16,0,0,0,23871,0,0.012840661878315346
grpo,GRPO,10,0.5,0.1254557676486803,0.1254557676486803,0.30328767235205856,0.0,0.0,0.018867680865316032,0.008376047350904102,0.0037061915160347446,1.3520029783248901,1e-06,2300.25,4096.0,12,4,0,4,43987,0,0.018867680865316032
grpo,GRPO,11,0.5,0.10294735619673176,0.10294735619673176,0.2987101152327584,0.0,0.0,0.022429077102015665,0.008140202659601985,0.0036360694559789053,0.8725598454475403,1e-06,2359.9166666666665,4096.0,12,4,0,4,44703,0,0.022429077102015665
grpo,GRPO,12,1.0,0.0,0.0,0.1927086917917619,0.0,0.0,0.011042955257083679,0.005792765138849211,0.002800682728884499,0.0,1e-06,1504.0625,nan,16,0,0,0,24065,0,0.011042955257083679
grpo,GRPO,13,0.25,0.16575209168773145,0.16575209168773145,0.3165688681968543,0.0,0.0,0.023928315810227082,0.008193476401588441,0.0035975326914587493,1.2499566078186035,1e-06,2475.5,3885.1666666666665,10,6,0,5,48066,0,0.023928315810227082
grpo,GRPO,14,0.75,0.2379911281032537,0.2379911281032537,0.21865528243722965,0.0,0.0,0.01692924908459893,0.005804025514784535,0.0027355366997954675,1.627280831336975,1e-06,1341.5714285714287,3901.5,14,2,0,1,26585,0,0.01692924908459893
grpo,GRPO,15,0.625,0.07854264588677454,0.07854264588677454,0.42533457918136297,0.0,0.0,0.03359829161900636,0.01014152120197807,0.004189267549100068,1.2018070220947266,1e-06,2173.4615384615386,4096.0,13,3,0,3,40543,0,0.03359829161900636
grpo,GRPO,16,0.5,0.08894222385280735,0.08894222385280735,0.36105070009336365,0.0,0.0,0.026779908400315505,0.00875155087355729,0.00373252931531969,0.7775971293449402,1e-06,2548.1666666666665,4003.5,12,4,0,3,46592,0,0.026779908400315505
